track,model,threshold,n_bets,flat_roi,roi_lo,roi_hi
market_aware,lightgbm,0.02,10663,-0.04464034511863454,-0.0827648410391072,-0.005315202100722125
market_aware,lightgbm,0.03,9387,-0.04857355917758602,-0.09180379780547566,-0.008108660914030053
market_aware,lightgbm,0.039999999999999994,8170,-0.040834761321909434,-0.08660755813953487,0.002834608323133386
market_aware,lightgbm,0.049999999999999996,7076,-0.042757207461842854,-0.08893375494629734,0.0044075395703787185
market_aware,lightgbm,0.06,6053,-0.027872129522550797,-0.07958875764083925,0.024877911779283
market_aware,lightgbm,0.06999999999999999,5167,-0.03230114186181537,-0.08963924908070445,0.028693390748983895
market_aware,lightgbm,0.07999999999999999,4369,-0.052822156099794,-0.11364648661020828,0.015097791256580386
market_aware,lightgbm,0.09,3725,-0.04575570469798658,-0.11570818791946308,0.026230402684563652
market_aware,lightgbm,0.09999999999999999,3100,-0.0589,-0.13262516129032256,0.021693064516129013
market_aware,lightgbm,0.10999999999999999,2593,-0.06772464327034323,-0.15404155418434246,0.022768318549942126
market_aware,lightgbm,0.11999999999999998,2123,-0.0570325011775789,-0.14781300047103157,0.044751766368346636
market_aware,lightgbm,0.12999999999999998,1689,-0.04841918294849023,-0.15255461811722903,0.06598963883955
market_aware,lightgbm,0.13999999999999999,1391,-0.038404025880661385,-0.15586394680086263,0.0833179367361609
market_aware,lightgbm,0.14999999999999997,1121,-0.027636039250669035,-0.16519134701159677,0.11240923282783229
market_aware,lightgbm,0.15999999999999998,892,-0.05856502242152467,-0.2027713004484305,0.09152073991031368
market_aware,lightgbm,0.16999999999999996,708,-0.04621468926553674,-0.2078418079096045,0.124092161016949
market_aware,lightgbm,0.17999999999999997,558,-0.0546594982078853,-0.23736603942652323,0.14036783154121849
market_aware,lightgbm,0.18999999999999997,443,-0.05778781038374717,-0.2708781038374718,0.16006715575620714
market_aware,lightgbm,0.19999999999999996,347,0.02149855907780978,-0.22047766570605182,0.2683321325648415
market_aware,lightgbm_tuned,0.02,10249,-0.04119036003512538,-0.07983283734998536,-0.0039093814030637915
market_aware,lightgbm_tuned,0.03,8764,-0.03883044272021908,-0.0801325593336376,0.0018473299863076037
market_aware,lightgbm_tuned,0.039999999999999994,7418,-0.03494742518198976,-0.08295955783229983,0.011203997034241029
market_aware,lightgbm_tuned,0.049999999999999996,6237,-0.03528619528619528,-0.08550256533589866,0.015273809523809493
market_aware,lightgbm_tuned,0.06,5221,-0.01706378088488795,-0.07215973951350316,0.039248180425205885
market_aware,lightgbm_tuned,0.06999999999999999,4318,-0.01732283464566929,-0.08189138490041685,0.045034622510421396
market_aware,lightgbm_tuned,0.07999999999999999,3506,-0.029868796349115805,-0.09948331431831145,0.040208713633770675
market_aware,lightgbm_tuned,0.09,2824,-0.02869688385269121,-0.10717811614730872,0.052404745042492824
market_aware,lightgbm_tuned,0.09999999999999999,2259,-0.02365648517042939,-0.11689685701637892,0.0662377158034528
market_aware,lightgbm_tuned,0.10999999999999999,1824,-0.02990679824561404,-0.13140789473684206,0.07825191885964895
market_aware,lightgbm_tuned,0.11999999999999998,1455,-0.0474914089347079,-0.15964381443298967,0.06394931271477651
market_aware,lightgbm_tuned,0.12999999999999998,1141,-0.08177914110429448,-0.20874101665205963,0.051616345311130546
market_aware,lightgbm_tuned,0.13999999999999999,907,0.00922822491730981,-0.13157965821389195,0.1538952590959206
market_aware,lightgbm_tuned,0.14999999999999997,712,-0.024410112359550564,-0.1789877106741573,0.15024859550561792
market_aware,lightgbm_tuned,0.15999999999999998,549,-0.04253187613843352,-0.21098406193078323,0.14126958105646625
market_aware,lightgbm_tuned,0.16999999999999996,420,0.0516904761904762,-0.1583880952380952,0.2856738095238093
market_aware,lightgbm_tuned,0.17999999999999997,323,0.1118575851393189,-0.13811996904024768,0.40081346749226004
market_aware,lightgbm_tuned,0.18999999999999997,245,0.21959183673469387,-0.09412551020408164,0.5326836734693874
market_aware,lightgbm_tuned,0.19999999999999996,188,0.3279787234042553,-0.030156914893616944,0.7192047872340417
market_aware,logistic,0.02,9249,-0.0264050167585685,-0.06387214834036112,0.013993188452805694
market_aware,logistic,0.03,7405,-0.036591492234976375,-0.080927886563133,0.00450871033085749
market_aware,logistic,0.039999999999999994,5843,-0.0423446859489988,-0.0917018654800616,0.006553354441211681
market_aware,logistic,0.049999999999999996,4546,-0.03833040035195776,-0.09627628684557853,0.019570831500219953
market_aware,logistic,0.06,3469,-0.04355722110118189,-0.11068074373018162,0.023779691553761834
market_aware,logistic,0.06999999999999999,2703,-0.024406215316315216,-0.09524750277469475,0.05300055493895671
market_aware,logistic,0.07999999999999999,2138,-0.024649204864359217,-0.10561213751169314,0.062284845650140204
market_aware,logistic,0.09,1702,-0.03625146886016451,-0.12799133372502935,0.056966363102232645
market_aware,logistic,0.09999999999999999,1395,-0.05288888888888889,-0.15009014336917562,0.048328673835125416
market_aware,logistic,0.10999999999999999,1174,-0.07487223168654174,-0.1808228279386712,0.023562819420783577
market_aware,logistic,0.11999999999999998,1004,-0.10179282868525898,-0.21364442231075692,0.0028705179282868336
market_aware,logistic,0.12999999999999998,890,-0.07068539325842697,-0.19337949438202245,0.048948595505617885
market_aware,logistic,0.13999999999999999,790,-0.0818607594936709,-0.20291835443037973,0.0495132911392404
market_aware,logistic,0.14999999999999997,716,-0.08614525139664805,-0.21387534916201115,0.04642039106145238
market_aware,logistic,0.15999999999999998,653,-0.14646248085758037,-0.26981699846860646,-0.015397396630934363
market_aware,logistic,0.16999999999999996,588,-0.14108843537414967,-0.2816602891156462,0.0008299319727888719
market_aware,logistic,0.17999999999999997,516,-0.13866279069767443,-0.2836952519379845,0.017329941860465086
market_aware,logistic,0.18999999999999997,472,-0.13627118644067795,-0.2887960805084746,0.024282838983050854
market_aware,logistic,0.19999999999999996,409,-0.15755501222493884,-0.3287781173594132,0.023522004889975544
market_aware,stacking,0.02,7182,-0.024610136452241714,-0.06761208576998048,0.01814793929267609
market_aware,stacking,0.03,5484,-0.01724835886214442,-0.0658594547775346,0.032958242159008014
market_aware,stacking,0.039999999999999994,4182,-0.012824007651841227,-0.06701040172166425,0.04586483739837391
market_aware,stacking,0.049999999999999996,3154,-0.00014584654407101894,-0.06999999999999998,0.07006697844007609
market_aware,stacking,0.06,2420,-0.026190082644628097,-0.10384235537190083,0.050112706611570225
